List of PGPA Act Commonwealth entities and companies,,,
Updated as of 2 February 2026,,,
,,,
,No. of Commonwealth Entities & Companies,195 ,
Australian Maritime Safety Authority,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Australian National Maritime Museum,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Australian Postal Corporation,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Material
Australian Sports Commission,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Civil Aviation Safety Authority,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Creative Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
High Speed Rail Authority,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Infrastructure Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
National Film and Sound Archive of Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
National Gallery of Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Material
National Library of Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Material
National Museum of Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
National Portrait Gallery of Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
National Transport Commission,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Northern Australia Infrastructure Facility,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Old Parliament House,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Screen Australia,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Special Broadcasting Service Corporation,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",B. Corporate Commonwealth Entity,Small
Australian Rail Track Corporation Limited,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",C. Commonwealth Company,Material
Australian Sports Foundation Limited,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",C. Commonwealth Company,Small
Bundanon Trust,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",C. Commonwealth Company,Small
National Intermodal Corporation Limited,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",C. Commonwealth Company,Material
NBN Co Limited,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",C. Commonwealth Company,Material
WSA Co Limited,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",C. Commonwealth Company,Material
Department of Parliamentary Services,Parliamentary Departments,A. Non-corporate Commonwealth Entity,Material
Department of the House of Representatives,Parliamentary Departments,A. Non-corporate Commonwealth Entity,Small
Department of the Senate,Parliamentary Departments,A. Non-corporate Commonwealth Entity,Small
Parliamentary Budget Office,Parliamentary Departments,A. Non-corporate Commonwealth Entity,Small
Australian National Audit Office,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Small
Australian Public Service Commission,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Small
Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Material
National Indigenous Australians Agency,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Material
Office of National Intelligence,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Small
Office of the Official Secretary to the Governor-General,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Small
Workplace Gender Equality Agency,Prime Minister and Cabinet,A. Non-corporate Commonwealth Entity,Small
Anindilyakwa Land Council,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Australian Institute of Aboriginal and Torres Strait Islander Studies,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Central Land Council,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Indigenous Business Australia,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Material
Indigenous Land and Sea Corporation,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Northern Land Council,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Northern Territory Aboriginal Investment Corporation (Aboriginal Investment NT),Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Tiwi Land Council,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Torres Strait Regional Authority,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Wreck Bay Aboriginal Community Council,Prime Minister and Cabinet,B. Corporate Commonwealth Entity,Small
Aboriginal Hostels Limited,Prime Minister and Cabinet,C. Commonwealth Company,Small
National Australia Day Council Limited,Prime Minister and Cabinet,C. Commonwealth Company,Small
Outback Stores Pty Ltd,Prime Minister and Cabinet,C. Commonwealth Company,Small
Australian Institute of Family Studies,Social Services,A. Non-corporate Commonwealth Entity,Small
Department of Social Services,Social Services,A. Non-corporate Commonwealth Entity,Material
"Domestic, Family and Sexual Violence Commission",Social Services,A. Non-corporate Commonwealth Entity,Small
National Commission for Aboriginal and Torres Strait Islander Children and Young People,Social Services,A. Non-corporate Commonwealth Entity,Small
Australian Bureau of Statistics,Treasury,A. Non-corporate Commonwealth Entity,Material
Australian Competition and Consumer Commission,Treasury,A. Non-corporate Commonwealth Entity,Small
Australian Financial Security Authority,Treasury,A. Non-corporate Commonwealth Entity,Small
Australian Office of Financial Management,Treasury,A. Non-corporate Commonwealth Entity,Material
Australian Prudential Regulation Authority,Treasury,A. Non-corporate Commonwealth Entity,Material
Australian Securities and Investments Commission,Treasury,A. Non-corporate Commonwealth Entity,Material
Australian Taxation Office,Treasury,A. Non-corporate Commonwealth Entity,Material
Commonwealth Grants Commission,Treasury,A. Non-corporate Commonwealth Entity,Small
Department of the Treasury,Treasury,A. Non-corporate Commonwealth Entity,Material
Inspector-General of Taxation,Treasury,A. Non-corporate Commonwealth Entity,Small
National Competition Council,Treasury,A. Non-corporate Commonwealth Entity,Small
Office of the Auditing and Assurance Standards Board,Treasury,A. Non-corporate Commonwealth Entity,Small
Office of the Australian Accounting Standards Board,Treasury,A. Non-corporate Commonwealth Entity,Small
Productivity Commission,Treasury,A. Non-corporate Commonwealth Entity,Small
Royal Australian Mint,Treasury,A. Non-corporate Commonwealth Entity,Small
Australian Reinsurance Pool Corporation,Treasury,B. Corporate Commonwealth Entity,Material
Housing Australia,Treasury,B. Corporate Commonwealth Entity,Material
Reserve Bank of Australia,Treasury,B. Corporate Commonwealth Entity,Material
Department of Veterans' Affairs,Veterans' Affairs (part of the Defence Portfolio),A. Non-corporate Commonwealth Entity,Material
Australian War Memorial,Veterans' Affairs (part of the Defence Portfolio),B. Corporate Commonwealth Entity,Material
